dataset,location,model_type,model_label,seed,split_seed,best_epoch,mean_mae_cm,mean_rmse_cm,mean_csi,mean_pod,mean_far,persistence_mean_mae_cm,persistence_mean_rmse_cm,persistence_mean_csi,mae_reduction_pct,rmse_reduction_pct,csi_gain,parameter_count,latency_ms_per_sample,peak_cuda_memory_mb,runtime_sec,train_samples,validation_samples,test_samples,metrics_path
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,2026,44,10,1.8947722069230872,6.78336585642213,0.7758793974382512,0.8612779807389016,0.11853424036822542,2.2525733826510215,9.12893214328433,0.688647830453917,15.884107416151883,25.6937640684262,0.08723156698433421,22229,1.5843874993151985,35.85498046875,22.5100314617157,234,52,312,larno_ukea/ukea/convlstm_attention/seed_2026/metrics/test_metrics.json
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,42,44,7,2.0876694953842163,7.3880420294229925,0.7509246385053282,0.8172613957136455,0.10549081061810152,2.2525733826510215,9.12893214328433,0.688647830453917,7.3206887969497405,19.070030169322894,0.062276808051411225,22229,1.4410375006264076,35.85498046875,23.301158666610718,234,52,312,larno_ukea/ukea/convlstm_attention/seed_42/metrics/test_metrics.json
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,44,44,10,1.8806672530908302,7.44936142296982,0.7531266507191923,0.7811338818615712,0.05371631969206261,2.2525733826510215,9.12893214328433,0.688647830453917,16.510278085702154,18.398326265904828,0.0644788202652753,22229,1.6185175001737662,35.85498046875,22.850902557373047,234,52,312,larno_ukea/ukea/convlstm_attention/seed_44/metrics/test_metrics.json
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,52,44,10,1.8194642009055029,7.15649341734359,0.7606245144119654,0.8006582172249668,0.07047768362825664,2.2525733826510215,9.12893214328433,0.688647830453917,19.227306203707272,21.606456209577125,0.07197668395804846,22229,1.5302200001315214,35.85498046875,22.35147452354431,234,52,312,larno_ukea/ukea/convlstm_attention/seed_52/metrics/test_metrics.json
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,44,4,1.874428144770849,7.36693291875547,0.7511337126970361,0.7872881401971877,0.06667454130064235,2.2525733826510215,9.12893214328433,0.688647830453917,16.787255003214973,19.301263246053026,0.06248588224311913,22229,1.5954200003761798,35.85498046875,22.383361101150513,234,52,312,larno_ukea/ukea/convlstm_attention/seed_77/metrics/test_metrics.json
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,4,0.9875020201623023,3.2458389702280037,0.8453686654136774,0.888927184481252,0.06043475149746373,0.9307298244665864,3.515648518732764,0.8336805632747064,-6.099750346804756,7.674531372152489,0.01168810213897098,9412,3.909182500501629,201.78515625,27.440383195877075,256,64,128,urbanflood24/location1/cnn_temporal_transformer/seed_42/metrics/test_metrics.json
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,5,0.859191396103561,2.831873241848113,0.8450556694530706,0.8909645047442765,0.06361361257291794,0.9222833877476406,3.323607732168881,0.8345911847593273,6.840846586010845,14.795202380874164,0.010464484693743392,9412,4.067882499657571,201.78515625,27.563035249710083,256,64,128,urbanflood24/location1/cnn_temporal_transformer/seed_44/metrics/test_metrics.json
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,5,0.6593586093558319,2.247557216268958,0.86773167226123,0.9126289777830221,0.05862148831438256,0.7799897734451482,2.8132149813158023,0.8421212716653288,15.465736628378952,20.107164536080845,0.02561040059590125,9412,3.907962499943096,201.78515625,27.724698781967163,256,64,128,urbanflood24/location1/cnn_temporal_transformer/seed_52/metrics/test_metrics.json
urbanflood24,location1,convlstm,Conv-LSTM,42,44,4,0.8764912187821897,3.440252304923123,0.8378672356256079,0.8774197811642677,0.05702357168800952,0.9307298244665864,3.515648518732764,0.8336805632747064,5.827534936412026,2.1445890682160154,0.0041866723509015324,22084,2.027987499604933,26.69970703125,30.779367208480835,256,64,128,urbanflood24/location1/convlstm/seed_42/metrics/test_metrics.json
urbanflood24,location1,convlstm,Conv-LSTM,44,44,5,0.8102511172039413,2.902583264938565,0.849284389547839,0.9025240054135464,0.07046778492438169,0.9222833877476406,3.323607732168881,0.8345911847593273,12.147271872401342,12.667694299638923,0.014693204788511771,22084,2.063159999670461,26.69970703125,25.152980089187622,256,64,128,urbanflood24/location1/convlstm/seed_44/metrics/test_metrics.json
