dataset,location,model_type,model_label,lead_minutes,threshold_m,seed_count,csi_mean,csi_std,pod_mean,pod_std,far_mean,far_std,persistence_csi_mean,persistence_csi_std,persistence_pod_mean,persistence_pod_std,persistence_far_mean,persistence_far_std
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,0.3,5,0.7228262002498872,0.013897182331395492,0.7325722887787743,0.021660555973502072,0.01726257653595204,0.013042056141669705,0.629461632308318,0.0,0.6310606535783729,0.0,0.004009305548680889,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.05,5,0.7255086331296964,0.012699440861239104,0.8273740485683219,0.028553361057209566,0.14193096015138534,0.04522169499280655,0.6993339181373497,0.0,0.7103494623655914,0.0,0.021693237242483804,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.1,5,0.6992995541350803,0.00993588913246001,0.7512878118378603,0.03323366026136659,0.08720461324476347,0.029706185377149908,0.6141999367955335,0.0,0.6208115503785177,0.0,0.017044017735219245,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.2,5,0.632569556788174,0.02671014367185124,0.6568597316940415,0.0384654788404755,0.052921930838651356,0.017646768096532366,0.5045513654096229,0.0,0.5093330771939936,0.0,0.0182670945445569,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.3,5,0.5951387830323707,0.026692068862625738,0.6069614466965461,0.03590719509904496,0.029277418251481224,0.018433274085371893,0.44571619068785423,0.0,0.4471871028162419,0.0,0.007325644706231748,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.05,5,0.6308947431443848,0.054682560962844975,0.8220930612244898,0.03547312648762669,0.26390231449853746,0.08745700937652728,0.595591200322595,0.0,0.60768,0.0,0.032321467569338284,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.1,5,0.6184869810275675,0.020190558039982914,0.7370365955417809,0.05675901129731829,0.19802933106338058,0.05973830062415786,0.4862776423106029,0.0,0.49242204928222333,0.0,0.025018122966434582,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.2,5,0.5590182593491553,0.02975739798227422,0.6139133039201005,0.05689996535516666,0.1303229604464973,0.03627383020069848,0.3608003835266186,0.0,0.36412123166952737,0.0,0.0246544063194273,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.3,5,0.518597065070507,0.03818577754318267,0.5515627753951002,0.06062116103608615,0.093688657487978,0.03698515010083581,0.29212463594186777,0.0,0.2931672639680395,0.0,0.012027916646042667,0.0
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.05,3,0.966148393640208,0.004607352920145498,0.9774321878911757,0.0037109177378156248,0.01181435478665128,0.001402091173709852,0.9628782152451881,0.004888162642575775,0.9776422543082225,0.006471554438049036,0.015422018329773898,0.001458660483612743
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.1,3,0.9657856716238352,0.0026193526614077074,0.9768899626714649,0.0026429868345088374,0.011632651455598081,0.00046877161418563685,0.9609430779827363,0.0014186962314864083,0.9766572938925155,0.004400130647607868,0.016439079450704108,0.0032919968004435705
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.2,3,0.9683279347645132,0.005137218222403113,0.9790694282670348,0.004617356112697332,0.011208486973351034,0.0008551988471976841,0.9597240567568653,0.0013348773954025897,0.9756656222554643,0.004329633688249101,0.01671179653240843,0.0032161202643581285
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.3,3,0.9684005493131638,0.008488630502078922,0.9791001557533795,0.007508945522585899,0.011173758853402207,0.0019016793039108196,0.9573870710830682,0.0035051349765434026,0.9733359541894465,0.005968319839766731,0.016797277905855213,0.0024358578949318322
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.05,3,0.8966182785053731,0.016812325423410285,0.9389775992675606,0.010726979899283418,0.04800940456263369,0.010811470916407736,0.8988080533718525,0.01299054895115353,0.9382314152923341,0.018656116979327276,0.04446632973511973,0.0046655304961306125
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.1,3,0.907387027564764,0.011821628852725592,0.9376085927560898,0.012006651676246574,0.034314018898642835,0.0011754440989227882,0.8910489737328449,0.007635985865163835,0.9352011291520609,0.015749068127935372,0.05004297546086828,0.008486136766189287
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.2,3,0.9144217110848083,0.015099517541626447,0.9413528661403722,0.01436193512161189,0.030380532854627842,0.002129106541658496,0.8914963979622437,0.007648072317108579,0.9328050455364244,0.014758762874094802,0.04710393978244537,0.007042003245151449
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.3,3,0.9127777017271281,0.01914331805065733,0.9406586943524567,0.017457521931025132,0.03154546007971309,0.003402285020722978,0.8824659430904304,0.008873062421308732,0.925308772628251,0.01566042373140548,0.04963598231340402,0.006294232870259481
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.05,3,0.8186473537834702,0.015444912248115929,0.8896250758716907,0.012205825628755423,0.08893588541926507,0.0070273949136730185,0.8246542905449319,0.014093225894942255,0.8921958943913861,0.024015990161213373,0.08362546912401,0.00798244832568908
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.1,3,0.8256130799452114,0.01692082120557095,0.8842796776712807,0.015652731949771362,0.07443191411047578,0.008451287441652681,0.8077854600845383,0.008348608492956001,0.885115265441209,0.024378382017152908,0.09670919587792483,0.0165174383449766
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.2,3,0.8451074581723333,0.022515779147889818,0.888972501448085,0.02209383454417576,0.05525790875505852,0.006327550246403264,0.8084259543325252,0.009997935900498078,0.8803191548716337,0.0237425149208628,0.09104687228122994,0.012934303058993757
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.3,3,0.8388492552181438,0.027830538552684757,0.8835845066329382,0.027497873150438445,0.057094219033444436,0.0041912613720429094,0.7891071369545001,0.009270007067902902,0.8650009386798303,0.02507223525947774,0.09917470447678915,0.015017814560467186
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.05,3,0.7048187421893094,0.009374509116751743,0.8050398249979713,0.02068683455068353,0.14904050433008748,0.02340052151730455,0.7137380044480626,0.003409325544883671,0.8208482484001992,0.016537073395817208,0.15401972304392347,0.013437849459802198
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.1,3,0.7120888970368269,0.013061668448167921,0.7912493229125653,0.015321400486361533,0.12318121871496893,0.0019622314053851704,0.6874131811323637,0.0025278240819442627,0.8060032611551998,0.018695600270774552,0.17520965299454483,0.02324581072609051
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.2,3,0.7295885817172731,0.0198133640142239,0.7940570227265584,0.01902277253957352,0.10009248343128536,0.0163817732352308,0.6812634130654396,0.0047828860998965685,0.7977302393910155,0.021277662168924807,0.17536138020604725,0.02142097971362303
urbanflood24,location1,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.3,3,0.7193433301932405,0.02784915772935637,0.7793683216052133,0.026077775875080485,0.09709756276383306,0.012306850628271361,0.6563603104181968,0.004002487146036167,0.774445726884985,0.022816105266232407,0.18712641575974331,0.023455974254352314
urbanflood24,location1,convlstm,Conv-LSTM,5,0.05,3,0.965205424087893,0.005725891064821254,0.976876044422094,0.006590291433947186,0.012213796011108965,0.0015480282520370446,0.9628782152451881,0.004888162642575775,0.9776422543082225,0.006471554438049036,0.015422018329773898,0.001458660483612743
urbanflood24,location1,convlstm,Conv-LSTM,5,0.1,3,0.963377672765632,0.0021090955050860442,0.9756740688707071,0.004770249254059049,0.012884540943661519,0.0030634608693254958,0.9609430779827363,0.0014186962314864083,0.9766572938925155,0.004400130647607868,0.016439079450704108,0.0032919968004435705
urbanflood24,location1,convlstm,Conv-LSTM,5,0.2,3,0.9639232819216188,0.002496015477077757,0.9752644044456106,0.004404882655141389,0.011901143987178635,0.0023013485499922015,0.9597240567568653,0.0013348773954025897,0.9756656222554643,0.004329633688249101,0.01671179653240843,0.0032161202643581285
urbanflood24,location1,convlstm,Conv-LSTM,5,0.3,3,0.9630942977984221,0.0052132420507158906,0.9729574537916862,0.006616407919119747,0.010396301791804365,0.0017038121969384628,0.9573870710830682,0.0035051349765434026,0.9733359541894465,0.005968319839766731,0.016797277905855213,0.0024358578949318322
urbanflood24,location1,convlstm,Conv-LSTM,15,0.05,3,0.9033279688474765,0.014341450437833511,0.9371457910003579,0.01779762834669552,0.038298639324476365,0.0036938326362482847,0.8988080533718525,0.01299054895115353,0.9382314152923341,0.018656116979327276,0.04446632973511973,0.0046655304961306125
urbanflood24,location1,convlstm,Conv-LSTM,15,0.1,3,0.898248610124691,0.009501780911053925,0.9339514011121498,0.014851951604061235,0.040650346956014806,0.005711469976964542,0.8910489737328449,0.007635985865163835,0.9352011291520609,0.015749068127935372,0.05004297546086828,0.008486136766189287
urbanflood24,location1,convlstm,Conv-LSTM,15,0.2,3,0.9032211445355639,0.010274679439649086,0.9319013592934011,0.012918995541902803,0.032885761543438405,0.002361753846415819,0.8914963979622437,0.007648072317108579,0.9328050455364244,0.014758762874094802,0.04710393978244537,0.007042003245151449
urbanflood24,location1,convlstm,Conv-LSTM,15,0.3,3,0.8982559785222558,0.01226383476981238,0.9240755039164822,0.013793374978851027,0.030134075939127942,0.001309747961695985,0.8824659430904304,0.008873062421308732,0.925308772628251,0.01566042373140548,0.04963598231340402,0.006294232870259481
