dataset,location,model_type,model_label,lead_minutes,seed_count,mae_cm_mean,mae_cm_std,rmse_cm_mean,rmse_cm_std,csi_mean,csi_std,pod_mean,pod_std,far_mean,far_std,mae_reduction_pct_mean,mae_reduction_pct_std,rmse_reduction_pct_mean,rmse_reduction_pct_std,csi_gain_mean,csi_gain_std,persistence_mae_cm_mean,persistence_mae_cm_std,persistence_rmse_cm_mean,persistence_rmse_cm_std,persistence_csi_mean,persistence_csi_std
urbanflood24,location2,convlstm,Conv-LSTM,60,3,0.6861099213290006,0.018243415671392094,5.442681147243105,0.39678534967485146,0.6005974058872456,0.006279427654375507,0.6976072983400297,0.02266579727354185,0.1864753775549873,0.022822597156660875,22.37533676616708,1.4931420471262218,9.717215060779521,0.7245388372222372,0.05699163201934154,0.00464744901507572,0.8844599561591074,0.03562202791949096,6.025462143580229,0.3945588556537155,0.5436057738679041,0.007367112107075254
urbanflood24,location2,convlstm_attention,Conv-LSTM + Attention,5,3,0.0992795494648562,0.01062702455378179,0.7801666146347334,0.11025100800277775,0.9374989432493834,0.005415561432602921,0.9631346188109186,0.00756497271200385,0.02757681127758892,0.0019030037249209858,6.839951297429822,1.6931248838246296,4.347316352132021,2.003658868766606,0.0070618379367196615,0.0014365534130921357,0.10644340163914391,0.009954834317860794,0.8136430944710088,0.09717271162203402,0.9304371053126638,0.004215326273148128
urbanflood24,location2,convlstm_attention,Conv-LSTM + Attention,15,3,0.26572652629190974,0.04861604342168744,2.135997038510237,0.4984852693679664,0.8365909349185942,0.02333444627659224,0.8973999377354632,0.02690164352782672,0.07485550232965588,0.0037381534053962245,11.149787807053084,3.2974045979926565,6.25675161097202,3.1094153061079237,0.017445242715790992,0.0036655719854097484,0.29748970691447313,0.04339150114716523,2.263995688156587,0.4474062543588757,0.8191456922028031,0.02017769576355895
urbanflood24,location2,convlstm_attention,Conv-LSTM + Attention,30,3,0.4699012369859605,0.05712878459045742,3.669955734704048,0.3543385938252538,0.7201480051500356,0.02508150974943141,0.8126356318946287,0.02735971605673029,0.13664947061120253,0.006402391015071349,14.495171461660663,3.8371089368455213,6.88602830033602,2.7565208911981816,0.029050826356051274,0.009289219453951596,0.5478431624610138,0.042890626915934545,3.9337462974379553,0.2613212011931541,0.6910971787939844,0.01580580531159668
urbanflood24,location2,convlstm_attention,Conv-LSTM + Attention,60,3,0.7140220157881114,0.014362923065546642,5.50988970547564,0.30505562731236685,0.583698067512997,0.009984748122952454,0.7007625824529954,0.009401947785859406,0.2224746331257585,0.011959704855977745,19.093769736589877,4.533814877761692,8.47067379903376,2.110102195109535,0.04009229364509289,0.015754347557129,0.8844599561591074,0.03562202791949096,6.025462143580229,0.3945588556537155,0.5436057738679041,0.007367112107075254
urbanflood24,location3,cnn_temporal_transformer,CNN-Temporal Transformer,5,3,0.15953657544368302,0.024533643285831606,0.6265455345117409,0.1173803427469523,0.9627618353244125,0.00574165163373536,0.9743282567620096,0.006989459326435134,0.012163438402602353,0.0011395877795436068,-7.627793220190612,0.713373930592442,6.914653740402763,5.747271341603285,0.0026706514547188234,0.0014113388647915815,0.14829392796194674,0.023098454372551185,0.6699994574139367,0.1010141964545664,0.9600911838696937,0.005886184850532865
urbanflood24,location3,cnn_temporal_transformer,CNN-Temporal Transformer,15,3,0.43101182947077454,0.07746618199133147,1.7318811113128538,0.3511360093055074,0.8999929394777672,0.015400817701823648,0.9267190957235233,0.018268706525834722,0.030943538029620007,0.004483409756996649,-1.3935694456666177,0.9826746050645946,7.12872165488684,5.441414464022691,0.007004801405854318,0.0026763988455737898,0.4244520359287927,0.07309409244126865,1.8524322367840662,0.2920571751122318,0.8929881380719128,0.01422495838677516
urbanflood24,location3,cnn_temporal_transformer,CNN-Temporal Transformer,30,3,0.7801554978361425,0.12321122042403454,3.278745244497497,0.5227173093336069,0.8301509014943917,0.020958216654054312,0.8713580125388721,0.024761603454134015,0.053722300821163096,0.006111173536681683,2.0095905898278774,0.6770694622395104,5.9720299113954685,4.37220460484241,0.011324118504965175,0.004142325831386799,0.7957523017639101,0.12245276241693977,3.472696947457134,0.4160878521298696,0.8188267829894266,0.019285723917517945
urbanflood24,location3,cnn_temporal_transformer,CNN-Temporal Transformer,60,3,1.3024598765368545,0.12953673622682435,5.73803254394981,0.6376970270715262,0.7412996515287628,0.014148166139686566,0.8001996045575099,0.020239822217801955,0.09000715759235295,0.007958542137221192,6.0475861898737655,1.4530059810854692,4.610559735327694,2.9338255710146,0.01648086864310198,0.0065349657858962676,1.3852775958946981,0.12394724412455091,6.003477060720729,0.5114246182352419,0.7248187828856608,0.012189989249730809
urbanflood24,location3,convlstm,Conv-LSTM,5,3,0.15045959790805524,0.021111355058842114,0.6473935522592541,0.09094753700094815,0.9625817968955382,0.005169239300591918,0.9760716939529326,0.0049563995546402445,0.014154577347062568,0.0018244019847457374,-1.7454775917616685,2.4812083601355837,3.1089433854762403,3.77920702119699,0.0024906130258444867,0.0018933624028730097,0.14829392796194674,0.023098454372551185,0.6699994574139367,0.1010141964545664,0.9600911838696937,0.005886184850532865
urbanflood24,location3,convlstm,Conv-LSTM,15,3,0.41510203597754625,0.06879990905809451,1.7903792941719503,0.2782820701456653,0.8982977834050515,0.0136714907609651,0.9324496392928272,0.014663324508896765,0.03916372638119741,0.001916937801988009,2.098570130042884,1.4928662106479453,3.224644955081012,2.9319723391385155,0.0053096453331386755,0.0025135607348258228,0.4244520359287927,0.07309409244126865,1.8524322367840662,0.2920571751122318,0.8929881380719128,0.01422495838677516
urbanflood24,location3,convlstm,Conv-LSTM,30,3,0.7629044878919832,0.12235058967515441,3.3826397318582733,0.42062243122046755,0.8247552178425163,0.01822090142890545,0.8792003814869761,0.021926253127410256,0.06971087730917322,0.004636715093223325,4.237505851441306,2.518017844213609,2.6139521136217287,1.736424428144786,0.005928434853089692,0.0012904882704100813,0.7957523017639101,0.12245276241693977,3.472696947457134,0.4160878521298696,0.8188267829894266,0.019285723917517945
urbanflood24,location3,convlstm,Conv-LSTM,60,3,1.2843580868009294,0.12929119023053973,5.865064299670576,0.5254613795366929,0.7341491403959808,0.010756439221125532,0.8118375454068879,0.01657821171304153,0.11504509683022043,0.009092103469307744,7.377259322316494,1.7054531684891658,2.3355241950136967,0.8807741785405903,0.00933035751032,0.0015145614257987196,1.3852775958946981,0.12394724412455091,6.003477060720729,0.5114246182352419,0.7248187828856608,0.012189989249730809
urbanflood24,location3,convlstm_attention,Conv-LSTM + Attention,5,3,0.14666133445209864,0.024837046126300527,0.6694032439599954,0.10393502255513554,0.960675129350595,0.006219719511951806,0.9743101017736181,0.005935705608791495,0.014361546126674887,0.0013883575880735825,1.3299780000643806,1.5962677944194457,0.16450560096378403,0.6928931348326244,0.0005839454809012009,0.00038775340051504855,0.14829392796194674,0.023098454372551185,0.6699994574139367,0.1010141964545664,0.9600911838696937,0.005886184850532865
urbanflood24,location3,convlstm_attention,Conv-LSTM + Attention,15,3,0.4148529346618039,0.06786603214329995,1.8463490451816873,0.2993250082225919,0.8950200425095561,0.01507122951885256,0.9281124892067492,0.014999455018065709,0.03833906724699537,0.002013263830555549,2.097937606025435,0.9807487372792325,0.40371290623177,0.562944677685427,0.002031904437643265,0.0010597071361834554,0.4244520359287927,0.07309409244126865,1.8524322367840662,0.2920571751122318,0.8929881380719128,0.01422495838677516
