dataset,location,model_type,model_label,seed,split_seed,lead_minutes,threshold_m,csi,pod,far,persistence_csi,persistence_pod,persistence_far
urbanflood24,location1,convlstm,Conv-LSTM,42,44,15,0.05,0.8843789994796282,0.9125500667556742,0.03372927455168493,0.8830032887831503,0.915641144714692,0.03880137716705768
urbanflood24,location1,convlstm,Conv-LSTM,42,44,15,0.1,0.8861643986355133,0.9135408001210013,0.03271074810321702,0.8837468077344035,0.9159608258337745,0.03827295285359802
urbanflood24,location1,convlstm,Conv-LSTM,42,44,15,0.2,0.890510555794916,0.9153311744028343,0.02955072336179828,0.8852542191839351,0.9175731406903042,0.03826515810850015
urbanflood24,location1,convlstm,Conv-LSTM,42,44,15,0.3,0.8817074508943268,0.90589650118381,0.02939400040265754,0.8743722224229504,0.909466721785862,0.04226689884438816
urbanflood24,location1,convlstm,Conv-LSTM,42,44,30,0.05,0.808803061934586,0.8569220735027223,0.06492039670137546,0.8069507291763426,0.8622249319419237,0.07359617318180434
urbanflood24,location1,convlstm,Conv-LSTM,42,44,30,0.1,0.8061348415975572,0.8522533428712926,0.06290462456890467,0.800662626817503,0.8554999174599681,0.07412406947890819
urbanflood24,location1,convlstm,Conv-LSTM,42,44,30,0.2,0.8079147873506103,0.8505700871898055,0.05844445104386303,0.7996086989239221,0.8552112676056338,0.0751958224543081
urbanflood24,location1,convlstm,Conv-LSTM,42,44,30,0.3,0.7930796563976955,0.8335992457756183,0.05775063529797524,0.781666160952092,0.8407063601421423,0.08243628304574957
urbanflood24,location1,convlstm,Conv-LSTM,42,44,60,0.05,0.7122719946788099,0.7904606430548655,0.1219389122790419,0.7089272035462685,0.8013911562211654,0.13997135980012795
urbanflood24,location1,convlstm,Conv-LSTM,42,44,60,0.1,0.6986260895257793,0.7748930359581248,0.12348374075828408,0.6906428617301393,0.7831770596267638,0.14608436724565757
urbanflood24,location1,convlstm,Conv-LSTM,42,44,60,0.2,0.6910666698677166,0.7597793380140421,0.1157225362496928,0.676615070905552,0.7707332523887452,0.15288656803017117
urbanflood24,location1,convlstm,Conv-LSTM,42,44,60,0.3,0.6682915805785123,0.729499242344152,0.1115450643776824,0.6521404373267632,0.7462029108080488,0.16198353648883965
urbanflood24,location1,convlstm,Conv-LSTM,44,44,5,0.05,0.967205418818322,0.9810483925826157,0.014379049233208496,0.9632269213766126,0.9782185761125396,0.015661364071954658
urbanflood24,location1,convlstm,Conv-LSTM,44,44,5,0.1,0.9639894055533142,0.9798181494027456,0.01648204155407219,0.9602367236881271,0.9777500445712248,0.018312002148035442
urbanflood24,location1,convlstm,Conv-LSTM,44,44,5,0.2,0.9646111464293282,0.9786353497621672,0.01463863408826474,0.9588483888008452,0.9755717395393835,0.017563800709047117
urbanflood24,location1,convlstm,Conv-LSTM,44,44,5,0.3,0.9654816724995395,0.9774363182038563,0.012509419743782968,0.9568772688936966,0.973221944579122,0.017248521824275977
urbanflood24,location1,convlstm,Conv-LSTM,44,44,15,0.05,0.9065400082491235,0.9448153571284642,0.04277587239370679,0.8985994181406246,0.9377224916376727,0.044369301536018396
urbanflood24,location1,convlstm,Conv-LSTM,44,44,15,0.1,0.8992010562307458,0.9398641237040445,0.04590599687494387,0.8878101221171452,0.9351049149003927,0.053897789313523674
urbanflood24,location1,convlstm,Conv-LSTM,44,44,15,0.2,0.9034785493709007,0.9335214387426823,0.03439528667284927,0.8869679175382444,0.9280628658826011,0.047549457389515846
urbanflood24,location1,convlstm,Conv-LSTM,44,44,15,0.3,0.9020344509817821,0.9270389392780388,0.029033611842356262,0.8782082492870558,0.9198266127563473,0.04899634692878394
urbanflood24,location1,convlstm,Conv-LSTM,44,44,30,0.05,0.8353706015400018,0.9025585556712871,0.08182089876650546,0.8255772339664087,0.8933445503832492,0.08415245187963749
urbanflood24,location1,convlstm,Conv-LSTM,44,44,30,0.1,0.8220797860195062,0.8896674668172833,0.084594010497067,0.8031922565343504,0.8846371081615363,0.10283719681374742
urbanflood24,location1,convlstm,Conv-LSTM,44,44,30,0.2,0.8305509797654463,0.8786381252113299,0.06182131252256506,0.803262221371855,0.8735662080266341,0.09106654759005169
urbanflood24,location1,convlstm,Conv-LSTM,44,44,30,0.3,0.8198513187820361,0.86026714158504,0.05419799498746867,0.7834802481227555,0.8547818343722173,0.09622264904153956
urbanflood24,location1,convlstm,Conv-LSTM,44,44,60,0.05,0.7302962779565899,0.8173732895240358,0.12730525930204709,0.715865201701696,0.8193394296873969,0.14996029898967775
urbanflood24,location1,convlstm,Conv-LSTM,44,44,60,0.1,0.71186731038779,0.8007462817301123,0.1348890907714437,0.6871256366976862,0.8058616400679712,0.17656851338047078
urbanflood24,location1,convlstm,Conv-LSTM,44,44,60,0.2,0.724467198476009,0.7923742056464215,0.10578138318196514,0.6878430142693936,0.7997187207000729,0.16900760466563827
urbanflood24,location1,convlstm,Conv-LSTM,44,44,60,0.3,0.7061157024793389,0.7612259444048468,0.0929936305732484,0.6617374106191998,0.7750534568781183,0.18095883704289534
urbanflood24,location1,convlstm,Conv-LSTM,52,44,5,0.05,0.9710009221820245,0.982007317598106,0.011411073074200863,0.968682992890193,0.98526436616687,0.017076766722491806
urbanflood24,location1,convlstm,Conv-LSTM,52,44,5,0.1,0.9656,0.9782121115027235,0.01317640795528007,0.962922553443302,0.9814162127523229,0.019193821812017328
urbanflood24,location1,convlstm,Conv-LSTM,52,44,5,0.2,0.9665777278472125,0.9781156742930226,0.012056839385675326,0.9616102521242513,0.9810146369191417,0.02015499474834644
urbanflood24,location1,convlstm,Conv-LSTM,52,44,5,0.3,0.9679414854297164,0.9778328027355264,0.010342495723775807,0.9619121048573631,0.9807019612467083,0.019529254587606584
urbanflood24,location1,convlstm,Conv-LSTM,52,44,15,0.05,0.9190648988136776,0.9540719491169354,0.03839077102803738,0.9148214531917828,0.9613306095246374,0.0502283105022831
urbanflood24,location1,convlstm,Conv-LSTM,52,44,15,0.1,0.9093803755078139,0.9484492795114038,0.04333429588988353,0.9015899913469859,0.9545376467220155,0.05795818421548314
urbanflood24,location1,convlstm,Conv-LSTM,52,44,15,0.2,0.9156743284408752,0.9468514647346868,0.03471127459566766,0.9022670571645515,0.9527791300363678,0.05549720384932012
urbanflood24,location1,convlstm,Conv-LSTM,52,44,15,0.3,0.9110260336906585,0.9392910712875977,0.031974615572370024,0.894817357561285,0.9466329833425436,0.057644701167039965
urbanflood24,location1,convlstm,Conv-LSTM,52,44,30,0.05,0.8474189561745413,0.9071058905623074,0.07205210951325788,0.8414349084920445,0.9210182008489853,0.09312778231058817
urbanflood24,location1,convlstm,Conv-LSTM,52,44,30,0.1,0.8329540363766688,0.9035650415986315,0.0857721658406105,0.8195014969017614,0.9152087707021227,0.11316632134111886
urbanflood24,location1,convlstm,Conv-LSTM,52,44,30,0.2,0.8438061041292639,0.8993650517526312,0.06821663512661079,0.8224069427017984,0.9121799889826332,0.10687824679933006
urbanflood24,location1,convlstm,Conv-LSTM,52,44,30,0.3,0.8287051011168125,0.881062216695415,0.06691023407961255,0.8021750017886528,0.8995146215251314,0.11886518134307832
urbanflood24,location1,convlstm,Conv-LSTM,52,44,60,0.05,0.7264469110597114,0.8182784117373079,0.1338130161469247,0.7164216080962231,0.8418141592920354,0.17212751034196475
urbanflood24,location1,convlstm,Conv-LSTM,52,44,60,0.1,0.707348451061786,0.807871640153593,0.1495947701635355,0.6844710449692656,0.8289710837708644,0.2029760783575061
urbanflood24,location1,convlstm,Conv-LSTM,52,44,60,0.2,0.7094421498405395,0.7964723836356166,0.13346530859861425,0.679332154021373,0.8227387450842284,0.2041899679223323
urbanflood24,location1,convlstm,Conv-LSTM,52,44,60,0.3,0.6952608376193975,0.7631663843858376,0.11345856560640839,0.6552030833086273,0.8020808129687879,0.218436873747495
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,5,0.05,0.9574902680540549,0.9684706939142151,0.011702696509052021,0.9567247314687588,0.9694438206452579,0.013527924194875232
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,5,0.1,0.9602727026922632,0.9696550110185853,0.009975707857114413,0.9596699568167798,0.9708056243539989,0.011811414392059554
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,5,0.2,0.9605694271833691,0.9694412770809578,0.009437259699405802,0.9587135293454996,0.9704104903078677,0.012416594139831738
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,5,0.3,0.956112370777449,0.964339703089267,0.008844269152623402,0.9533718394981449,0.9660839567425094,0.013614057305683077
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,15,0.05,0.8841312654529108,0.9133337203227492,0.03490155186162056,0.8830032887831503,0.915641144714692,0.03880137716705768
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,15,0.1,0.8862540119211371,0.9136164259245254,0.03268876611418048,0.8837468077344035,0.9159608258337745,0.03827295285359802
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,15,0.2,0.8911636187085289,0.9144731379224446,0.027807203389830507,0.8852542191839351,0.9175731406903042,0.03826515810850015
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,15,0.3,0.8830415795075048,0.9042805065955128,0.02590883329285078,0.8743722224229504,0.909466721785862,0.04226689884438816
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,30,0.05,0.8089089303396044,0.8571489337568058,0.06504894910221315,0.8069507291763426,0.8622249319419237,0.07359617318180434
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,30,0.1,0.8059068797776233,0.8508593334433867,0.061522587954439704,0.800662626817503,0.8554999174599681,0.07412406947890819
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,30,0.2,0.8106937897110064,0.8489067739771965,0.052604790419161676,0.7996086989239221,0.8552112676056338,0.0751958224543081
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,30,0.3,0.7958643737380771,0.8289941257524114,0.0478134110787172,0.781666160952092,0.8407063601421423,0.08243628304574957
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,60,0.05,0.7131775020128567,0.7921640996522109,0.12266138414614973,0.7089272035462685,0.8013911562211654,0.13997135980012795
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,60,0.1,0.6997018269278289,0.7733090578060993,0.11974633175826908,0.6906428617301393,0.7831770596267638,0.14608436724565757
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,60,0.2,0.6937980745972618,0.7570870506255609,0.10753290394847381,0.676615070905552,0.7707332523887452,0.15288656803017117
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,42,44,60,0.3,0.6688177678776165,0.7194911371885682,0.09527185713652679,0.6521404373267632,0.7462029108080488,0.16198353648883965
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,5,0.05,0.9655830455174638,0.9775111219950207,0.012479727315209323,0.9632269213766126,0.9782185761125396,0.015661364071954658
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,5,0.1,0.964168807856112,0.9767516491353182,0.013184913001188804,0.9602367236881271,0.9777500445712248,0.018312002148035442
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,5,0.2,0.9624389466978127,0.9743624197146005,0.012555150062639577,0.9588483888008452,0.9755717395393835,0.017563800709047117
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,5,0.3,0.9625170796558219,0.972065788982956,0.010102544625902012,0.9568772688936966,0.973221944579122,0.017248521824275977
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,15,0.05,0.903775676556896,0.9308982952942599,0.0312312144384952,0.8985994181406246,0.9377224916376727,0.044369301536018396
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,15,0.1,0.8997531118197716,0.9284703301369378,0.03323324060939889,0.8878101221171452,0.9351049149003927,0.053897789313523674
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,15,0.2,0.8962455410988786,0.9209429882390169,0.029052795462759597,0.8869679175382444,0.9280628658826011,0.047549457389515846
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,15,0.3,0.8914891346871999,0.9130513969329399,0.025806451612903226,0.8782082492870558,0.9198266127563473,0.04899634692878394
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,30,0.05,0.833838351822504,0.8782549475202307,0.057183405487542645,0.8255772339664087,0.8933445503832492,0.08415245187963749
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,30,0.1,0.8226916012689931,0.8696519344817848,0.06159413389201029,0.8031922565343504,0.8846371081615363,0.10283719681374742
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,30,0.2,0.8194492681716695,0.8591567612557547,0.05338873764149592,0.803262221371855,0.8735662080266341,0.09106654759005169
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,30,0.3,0.8046325987582725,0.8401424755120214,0.04990735519213728,0.7834802481227555,0.8547818343722173,0.09622264904153956
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,60,0.05,0.725173464517787,0.7819563754404022,0.09102204224379919,0.715865201701696,0.8193394296873969,0.14996029898967775
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,60,0.1,0.7134055386211816,0.77080742077326,0.09451978680056798,0.6871256366976862,0.8058616400679712,0.17656851338047078
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,60,0.2,0.7123357293254919,0.76656422544015,0.09033873161082952,0.6878430142693936,0.7997187207000729,0.16900760466563827
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,44,44,60,0.3,0.692980406555626,0.7398788310762652,0.08380406001765225,0.6617374106191998,0.7750534568781183,0.18095883704289534
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,5,0.05,0.9710879284649776,0.9816773082717555,0.010986151666714851,0.968682992890193,0.98526436616687,0.017076766722491806
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,5,0.1,0.966825882528547,0.9766477561867426,0.010294707488969957,0.962922553443302,0.9814162127523229,0.019193821812017328
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,5,0.2,0.967256961063093,0.9764388233622282,0.009628134909195734,0.9616102521242513,0.9810146369191417,0.02015499474834644
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,5,0.3,0.9673133863175939,0.9758676256730732,0.008980601899896225,0.9619121048573631,0.9807019612467083,0.019529254587606584
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,15,0.05,0.9201101543278909,0.953637298793121,0.0368034418169047,0.9148214531917828,0.9613306095246374,0.0502283105022831
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,15,0.1,0.9130747258822446,0.9456627540795878,0.03636858687619122,0.9015899913469859,0.9545376467220155,0.05795818421548314
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,15,0.2,0.9150308624812322,0.942412874774491,0.03077602709468414,0.9022670571645515,0.9527791300363678,0.05549720384932012
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,15,0.3,0.9082325849165227,0.9340806820873135,0.029567356981751076,0.894817357561285,0.9466329833425436,0.057644701167039965
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,30,0.05,0.850800333529259,0.904838053148805,0.06558976745582562,0.8414349084920445,0.9210182008489853,0.09312778231058817
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,30,0.1,0.8382371626159403,0.8976945805147345,0.07322897852699177,0.8195014969017614,0.9152087707021227,0.11316632134111886
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,30,0.2,0.8443238502439292,0.8931605346322229,0.06082131642327978,0.8224069427017984,0.9121799889826332,0.10687824679933006
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,30,0.3,0.827718339782988,0.8751654699346143,0.06147294158134733,0.8021750017886528,0.8995146215251314,0.11886518134307832
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,60,0.05,0.7285590071931073,0.8049312994876572,0.11522462562396006,0.7164216080962231,0.8418141592920354,0.17212751034196475
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,60,0.1,0.7141674154729813,0.7940992085259776,0.12353233723268536,0.6844710449692656,0.8289710837708644,0.2029760783575061
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,60,0.2,0.710586544602938,0.7836180078652345,0.11594874681323047,0.679332154021373,0.8227387450842284,0.2041899679223323
urbanflood24,location1,convlstm_attention,Conv-LSTM + Attention,52,44,60,0.3,0.6898619387792871,0.7515928703927736,0.10639113966534017,0.6552030833086273,0.8020808129687879,0.218436873747495
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,5,0.05,0.9336262170505818,0.9495230044680594,0.017616191904047975,0.925577950177381,0.9556816809564063,0.03291242362525458
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,5,0.1,0.9358316517728452,0.9528058229631369,0.018680853636418596,0.9249288560045532,0.9539211082413712,0.03181411974977658
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,5,0.2,0.9345785347914449,0.953212910867634,0.020488893396896236,0.9212778094694809,0.9564702398578621,0.038404286990175646
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,5,0.3,0.9392624728850325,0.9552473999369682,0.017504051863857374,0.9256273764258555,0.9590293098014497,0.03626286619160728
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,15,0.05,0.8101088764554665,0.8495480494766888,0.05419958511718233,0.7985185185185185,0.8761100539169046,0.09983706720977596
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,15,0.1,0.8154696737464419,0.8557559742647058,0.054578917306593894,0.7920859538784067,0.8681640625,0.09961274947870122
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,15,0.2,0.8155134339344866,0.8467564727237986,0.04328583765112263,0.781786643538595,0.8611827648800994,0.1054877443683636
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,15,0.3,0.8046626122212569,0.8342591202522144,0.04222681833850397,0.7726775956284153,0.8491217534904669,0.10435471100554236
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,30,0.05,0.6935195652966705,0.7458232018197506,0.09183381088825215,0.6815509189261835,0.7955525923601852,0.17372708757637476
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,30,0.1,0.7001858242633395,0.7584541062801933,0.09887256576699692,0.6688479757777018,0.7876696572348746,0.18403336312183496
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,30,0.2,0.6942452491932593,0.7408647407690836,0.08310642831774595,0.6559929020809808,0.777979720681079,0.19291455790413814
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,30,0.3,0.6733640295800195,0.7209441290708096,0.08926212492923193,0.6326556224899599,0.7530624439796832,0.20174188440221694
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,60,0.05,0.5998314111651788,0.6741742388355368,0.1552905627799061,0.5789456288216823,0.7543172128676628,0.2865173116089613
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,60,0.1,0.5977849510240427,0.6709350990068087,0.15425196850393702,0.553923426838514,0.730214254481854,0.30354483169496577
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,60,0.2,0.5588235294117647,0.621221468229488,0.15235690235690236,0.5154970536465906,0.6925765988073206,0.33154708742681355
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,60,0.3,0.5445161290322581,0.6025702046644456,0.15033557046979865,0.5023217049648768,0.6693637950182453,0.3319081551860649
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,5,0.05,0.9435164835164835,0.9576176667410217,0.015366972477064221,0.9357298864979054,0.9715964012194215,0.0379532486655623
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,5,0.1,0.949142827366995,0.964522107492719,0.01652178608066519,0.9312169312169312,0.9692348424675669,0.04041939711664482
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,5,0.2,0.95009035367008,0.9680841736080666,0.019188060762192413,0.9295644891122278,0.9731696624287594,0.04598590338662541
urbanflood24,location2,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,5,0.3,0.9472302804254731,0.9664552501761804,0.020568490215683473,0.924715338245144,0.972938689217759,0.050873092259040284
