csi_max,csi_mean,csi_min,csi_std,f1_max,f1_mean,f1_min,f1_std,far_max,far_mean,far_min,far_std,lead_time,mae_max,mae_mean,mae_min,mae_std,model_type,rmse_max,rmse_mean,rmse_min,rmse_std,seeds
0.9067754384693023,0.8903494292153493,0.8617472434265899,0.01993557064454721,0.9511087833606215,0.9418998650251851,0.9257403139313687,0.01122234498128119,0.0903154565531491,0.03813228046345848,0.004104280833696139,0.03910086444852203,1,0.0786062479019165,0.059581275284290316,0.0536503940820694,0.010726885522360492,convgru,0.09285682439804077,0.07328356355428696,0.06539169698953629,0.011395751726240471,"[42, 44, 52, 77, 2026]"
0.9373797098230375,0.9188799564260839,0.8963633533193589,0.016511299121795924,0.9676778385022335,0.9576634067597508,0.9453497896602447,0.00899300688723382,0.0917204259371742,0.02958865481119096,0.005682948016200813,0.03544867002176166,3,0.07813889533281326,0.054152775555849075,0.04415163770318031,0.013695565992845899,convgru,0.09355238825082779,0.0683119148015976,0.058093778789043427,0.014522155770948049,"[42, 44, 52, 77, 2026]"
0.931178639052955,0.9153862983086694,0.874290737632823,0.023703125759434694,0.9643630220379692,0.9556944002913049,0.9329296841849123,0.013111736283281975,0.07126037558132389,0.03191740761227373,0.005112867045247604,0.025720706936669908,6,0.0872483029961586,0.0628858782351017,0.05258921533823013,0.013928606252855084,convgru,0.10986471176147461,0.0804214671254158,0.06713178753852844,0.016917830689152036,"[42, 44, 52, 77, 2026]"
0.8672426441241987,0.832831617325161,0.8022869263139016,0.023076162454797117,0.9289019209012597,0.9086542881273629,0.8902987755527304,0.013701367309104184,0.18441448943837757,0.11831378317828604,0.07661878082444729,0.05006450891057044,12,0.11175774037837982,0.1020039051771164,0.09069103747606277,0.009066064036390525,convgru,0.13777753710746765,0.12699360102415086,0.11718834191560745,0.009675380046507484,"[42, 44, 52, 77, 2026]"
0.8267255850695867,0.8148420740144108,0.7997038008838365,0.010530232578121287,0.9051447981891242,0.8979459833655439,0.8887060148772777,0.006408775985964872,0.18511142656320426,0.1657892550369548,0.150512034440018,0.015499324572516838,24,0.145463228225708,0.13947685360908507,0.1331183761358261,0.004899534493537172,convgru,0.17893268167972565,0.1720752477645874,0.16583625972270966,0.005427634043965024,"[42, 44, 52, 77, 2026]"
0.9044211526470053,0.8907780368565495,0.8756665263452924,0.012775743817130486,0.9498121217967869,0.9421956825185651,0.9337123730406333,0.007158262144609737,0.11970517833448154,0.056244928832373975,0.006420537020022375,0.04990343557393115,1,0.065770223736763,0.057570993155241015,0.049401264637708664,0.006784781123532381,convlstm_unet,0.08619093149900436,0.07234505787491799,0.060798171907663345,0.009538123017020231,"[42, 44, 52, 77, 2026]"
0.9399573217081876,0.9127107015505593,0.8587482825602474,0.0314315553287063,0.9690494799449566,0.9541335388514639,0.9240070707763834,0.017497744500966493,0.07614697963135382,0.03777806520924545,0.0009645540177808112,0.03387749378666974,3,0.06712636351585388,0.0553482361137867,0.041900526732206345,0.011687611628177393,convlstm_unet,0.08347447216510773,0.0692199282348156,0.05657840520143509,0.012100059420593761,"[42, 44, 52, 77, 2026]"
0.9111407501071372,0.8957411596724635,0.8576219766151743,0.021955971433460973,0.9535045969580491,0.944888883199518,0.9233546790285189,0.0123864955072018,0.08618080843351099,0.05513185302774735,0.019423948349840625,0.030342507791611358,6,0.08429880440235138,0.0706814669072628,0.056925218552351,0.011574336469085907,convlstm_unet,0.10211670398712158,0.0883927047252655,0.07373146712779999,0.01245871899501103,"[42, 44, 52, 77, 2026]"
0.8360050530350577,0.8186394288708891,0.7991734981857008,0.015930711431636626,0.9106783743034852,0.9002092377352785,0.8883784632656475,0.00963832550610747,0.1928017076092387,0.16017118676636563,0.13078874068705773,0.028304256125464698,12,0.12224935740232468,0.11459362357854844,0.1041908785700798,0.007280522144588765,convlstm_unet,0.15200604498386383,0.14288213551044465,0.13008928298950195,0.010199858139636038,"[42, 44, 52, 77, 2026]"
0.8097327693595892,0.8028389913746242,0.7991426334160351,0.004336878496289998,0.894864455747709,0.8906334616171072,0.8883593931100876,0.002663838168202935,0.197745645678648,0.18188700535296395,0.1548274063571996,0.0162584629212342,24,0.15915453433990479,0.1472771257162094,0.13060107827186584,0.011449087739887625,convlstm_unet,0.20374862849712372,0.19081636369228364,0.17264360189437866,0.012579302331780368,"[42, 44, 52, 77, 2026]"
