dataset,location,model_type,model_label,lead_minutes,threshold_m,seed_count,csi_mean,csi_std,pod_mean,pod_std,far_mean,far_std,f1_mean,f1_std,false_positive_rate_mean,false_positive_rate_std,persistence_csi_mean,persistence_csi_std,persistence_pod_mean,persistence_pod_std,persistence_far_mean,persistence_far_std,persistence_f1_mean,persistence_f1_std,persistence_false_positive_rate_mean,persistence_false_positive_rate_std
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,5,0.1,5,0.9117141518208064,0.005939802800284612,0.917794962100911,0.007644088438939456,0.007181796424200016,0.002037944571416453,0.95380837908836,0.0032538544819828903,0.0004993711919788215,0.0001466647610007874,0.9001021543903518,0.0,0.9039889748105046,0.0,0.0047541177065596706,0.0,0.9474250132400379,0.0,0.0003238791999494657,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,5,0.2,5,0.8875013549161644,0.008698526677970508,0.89171662857911,0.010418871391999722,0.00524871391920969,0.002343633972363554,0.9403756160771929,0.004881357515261676,0.00019581555509815812,9.08024814459703e-05,0.8660321715817695,0.0,0.8684769458260518,0.0,0.003239940755369045,0.0,0.9282071175093027,0.0,0.00011682178003015115,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,5,0.3,5,0.872279096897741,0.009096654117582785,0.8759758753560061,0.011294438585039542,0.004741658102865351,0.0030817629435078374,0.9317579983273311,0.005185482781476874,0.00011029202169880411,7.393476646844542e-05,0.8437696072280085,0.0,0.8448651365387837,0.0,0.0015344255803593527,0.0,0.9152657728169877,0.0,3.3986607084124524e-05,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,0.05,5,0.8216689645745923,0.007561169049979487,0.860775268938181,0.018167795281024964,0.051699390344708995,0.017279177324210453,0.9020867390147986,0.004564571816461796,0.006696056934400874,0.0024460777954950735,0.8116672514269577,0.0,0.820869429755857,0.0,0.013623269792739109,0.0,0.8960445145626482,0.0,0.001596678907871627,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,0.1,5,0.7890250415727628,0.012393535003717785,0.8054371195441005,0.01764401753258773,0.024835269525586335,0.007922220017828356,0.8820185197617193,0.00781576174651762,0.0018614562349351996,0.0006407676750778589,0.7540115883191798,0.0,0.760134697578034,0.0,0.010570325539052886,0.0,0.8597566781662235,0.0,0.0007300969969375517,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,0.2,5,0.7363587549533045,0.01690051024636325,0.7443481209860319,0.01863095892918056,0.014232108939002081,0.0028861207387181373,0.8480538854783444,0.01134435736761903,0.000573343789131895,0.00012957082758330315,0.6759391846361186,0.0,0.6803662646516458,0.0,0.00953468279437176,0.0,0.8066392752585221,0.0,0.0003476515518872754,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,0.3,5,0.7059190160703604,0.016160164065901015,0.7110393276045913,0.017347603810232527,0.009996218827220623,0.002750121486305356,0.827505003129786,0.011232259165331595,0.000254613909307897,7.55149828841499e-05,0.629461632308318,0.0,0.6310606535783729,0.0,0.004009305548680889,0.0,0.7726007410393749,0.0,8.959047199800026e-05,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.05,5,0.7196246747564731,0.015076781289680902,0.7992977528089887,0.04024942656160964,0.11701390524596023,0.047125069020585005,0.8368659295498934,0.010217706539063339,0.018268024610238336,0.009032569808860537,0.6993339181373497,0.0,0.7103494623655914,0.0,0.021693237242483804,0.0,0.823068274778972,0.0,0.0025959221870457756,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.1,5,0.6769422972710379,0.024373444836553775,0.7147946634866215,0.03744114950155423,0.0700967454178896,0.025017338568741693,0.807096647536229,0.017646643424332396,0.006174702908627555,0.002539684184665195,0.6141999367955335,0.0,0.6208115503785177,0.0,0.017044017735219245,0.0,0.7609961105745386,0.0,0.0012005970922037191,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.2,5,0.6029497135756885,0.02943110116582554,0.6190855825569109,0.03474611868692143,0.04016575329243005,0.010725056848777045,0.7518694647499804,0.023462273164568292,0.001886131507188043,0.0005880600098024417,0.5045513654096229,0.0,0.5093330771939936,0.0,0.0182670945445569,0.0,0.6707000864304236,0.0,0.000677706878037947,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,30,0.3,5,0.5664057710672192,0.029498054730731766,0.5731933016701228,0.03185765216283883,0.01982045494664448,0.006686518123621736,0.7227285248126551,0.024593607853157222,0.0005936129935039214,0.0002288134835566347,0.44571619068785423,0.0,0.4471871028162419,0.0,0.007325644706231748,0.0,0.6166026133743274,0.0,0.00016607698116933905,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.05,5,0.6283171968174941,0.05632247676865515,0.7726654693877552,0.06431102442011155,0.2146957478181119,0.10680432937676788,0.77021658522912,0.04399996354324188,0.04732275267443717,0.034755525310470436,0.595591200322595,0.0,0.60768,0.0,0.032321467569338284,0.0,0.7465461080534651,0.0,0.003969982436532013,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.1,5,0.5877066181000508,0.036362502720094864,0.6734993103213391,0.07436972850542672,0.16309331275787034,0.06908761115420915,0.7396400128726747,0.029754919238699117,0.020664000175919975,0.012537277360839294,0.4862776423106029,0.0,0.49242204928222333,0.0,0.025018122966434582,0.0,0.6543563981149901,0.0,0.0018129530855630783,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.2,5,0.5118021666832343,0.047555499659833446,0.5464295176767386,0.061627260923306004,0.10271126640010977,0.03290152450079836,0.6757126629025648,0.04333731513526445,0.0066993173502780876,0.0027396831838261463,0.3608003835266186,0.0,0.36412123166952737,0.0,0.0246544063194273,0.0,0.5302767222795407,0.0,0.0009408955111394257,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,60,0.3,5,0.46463854748338923,0.04781996505955839,0.48240702661418244,0.054696842548721425,0.06866607255231441,0.02126298091424186,0.6329555098784764,0.04656014420301487,0.002900280672323128,0.0011147894151949857,0.29212463594186777,0.0,0.2931672639680395,0.0,0.012027916646042667,0.0,0.4521616999105191,0.0,0.00027998101198733517,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),5,0.05,5,0.9270432139286215,0.0034198788103043617,0.9377190082644629,0.003656981162878082,0.01212052023949832,0.003116931523606511,0.9621372809671863,0.0018450097753520353,0.0014220728560283263,0.00037367009587573735,0.9234984825346504,0.0,0.9289936801166747,0.0,0.006364458865004836,0.0,0.9602279293901281,0.0,0.0007345616035527816,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),5,0.1,5,0.9205386592130419,0.0047384218250594275,0.929971671388102,0.0077984004724727584,0.010838184929490987,0.0038183001741076425,0.9586191492587098,0.002571073906499518,0.0007674329127880602,0.00027948781006903277,0.9001021543903518,0.0,0.9039889748105046,0.0,0.0047541177065596706,0.0,0.9474250132400379,0.0,0.0003238791999494657,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),5,0.2,5,0.9022214514201625,0.008173988910553506,0.910530985347493,0.011525556759934198,0.009899568050402518,0.005484241061006008,0.9485782949376301,0.004517028423738841,0.00038006019103142504,0.0002163000008814767,0.8660321715817695,0.0,0.8684769458260518,0.0,0.003239940755369045,0.0,0.9282071175093027,0.0,0.00011682178003015115,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),5,0.3,5,0.8854287225997697,0.007649683147925154,0.892703970514324,0.010131560430169672,0.009032946693097187,0.005235228567352038,0.9392158862175911,0.004292580640129884,0.0002146637957119865,0.00012657772387732565,0.8437696072280085,0.0,0.8448651365387837,0.0,0.0015344255803593527,0.0,0.9152657728169877,0.0,3.3986607084124524e-05,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),15,0.05,5,0.8245565656294745,0.012748910566914462,0.8686941244688309,0.009143559428447006,0.05780118867717745,0.01888338755027526,0.9037894057585197,0.00770559512958751,0.007572889610983201,0.0027248248174979667,0.8116672514269577,0.0,0.820869429755857,0.0,0.013623269792739109,0.0,0.8960445145626482,0.0,0.001596678907871627,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),15,0.1,5,0.819188332048162,0.009328116134023633,0.8374770107499029,0.012082377925431797,0.025841243940605458,0.006037387021362051,0.9005796613716713,0.005644476812448397,0.0020049138904738063,0.0005041111127512839,0.7540115883191798,0.0,0.760134697578034,0.0,0.010570325539052886,0.0,0.8597566781662235,0.0,0.0007300969969375517,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),15,0.2,5,0.7744010714789381,0.013550358160003719,0.7885372729392314,0.016440819453191452,0.022444290754604888,0.005366632942501968,0.8727933308285032,0.008613991643070747,0.0009659987781566817,0.0002480814217083776,0.6759391846361186,0.0,0.6803662646516458,0.0,0.00953468279437176,0.0,0.8066392752585221,0.0,0.0003476515518872754,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),15,0.3,5,0.7362208614745525,0.011329416652075519,0.7488302076146272,0.013382565598529144,0.022147375924601035,0.010270808546486994,0.8480240168035187,0.007479186003975412,0.0006036849335371424,0.0002904993736148148,0.629461632308318,0.0,0.6310606535783729,0.0,0.004009305548680889,0.0,0.7726007410393749,0.0,8.959047199800026e-05,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),30,0.05,5,0.7372363535404753,0.012995480266115819,0.8145674761386976,0.007258153758060517,0.11401815966062705,0.016909944786851525,0.8486812803697158,0.008675001063375737,0.01733120283535432,0.002886868885396658,0.6993339181373497,0.0,0.7103494623655914,0.0,0.021693237242483804,0.0,0.823068274778972,0.0,0.0025959221870457756,0.0
