dataset,location,model_type,model_label,seed,event_id,samples,mean_mae_cm,mean_rmse_cm,mean_csi,mean_wet_rmse_cm,mean_boundary_f1,peak_time_mae_min,persistence_mean_mae_cm,persistence_mean_csi,persistence_peak_time_mae_min,mae_reduction_pct,csi_gain
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,52,r200y_p0.5_d3h_1,26,0.6739168470457224,2.025548545221846,0.7549133574460226,6.085930046573482,0.9207263991308529,0.0,0.645143305306119,0.7107959287498848,55.0,-4.460023300706882,0.04411742869613777
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,52,r300y_p0.1_d3h_1,26,7.926847808315281,17.26156250584455,0.7432374302526098,31.453823071554265,0.8412340771012865,0.0,9.849093978007787,0.6499613150569965,55.0,19.516984749914283,0.0932761151956133
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,52,r300y_p0.5_d3h_1,26,0.72162191592037,2.1627078512856817,0.7699874699563936,6.314366266072502,0.9257098687419547,0.0,0.7289477938276714,0.7311205776946749,55.0,1.004993494641583,0.03886689226171869
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,52,r300y_p0.6_d3h_1,26,0.6346828631975819,2.010814902502768,0.7763884298202797,6.120945592684231,0.9325895545330939,0.0,0.6675955418484582,0.7351729115370766,55.0,4.930032720072789,0.04121551828320302
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,52,r300y_p0.8_d3h_1,26,0.5473418824776896,1.852041430127377,0.7770633182041242,5.869266609362139,0.9356561951775395,0.0,0.5981127835596759,0.739708296865552,55.0,8.48851629283405,0.03735502133857227
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,52,r500y_p0.1_d3h_1,26,8.471374121255366,18.151330226681683,0.7379129918278827,32.53954500282289,0.8365235511574318,0.0,10.437738887635145,0.6577656554464262,55.0,18.838991735165877,0.08014733638145655
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,52,r500y_p0.3_d3h_1,26,1.0617362159889534,2.9028037994280025,0.7779342884666951,7.555861185927706,0.9204101816212971,0.0,1.1791099887065046,0.7444395670556976,55.0,9.954437994907618,0.03349472141099752
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,52,r500y_p0.4_d3h_1,26,0.9010037200685723,2.5504579521958863,0.7815387557784084,6.95476155887768,0.9276398562951162,0.0,0.9457617622116108,0.753722275622938,55.0,4.732485910444751,0.027816480155470336
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,52,r500y_p0.9_d3h_1,26,0.6010260646119198,2.0205605134720037,0.7907147726443118,6.168779479139656,0.9379423026169391,0.0,0.674717223286946,0.7645072841140748,55.0,10.921784138847551,0.026207488530237022
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,77,r100y_p0.5_d3h_1,26,0.5526761754134761,1.6881577532948513,0.7236777774861671,5.654604304769048,0.9229853775253203,10.384615384615385,0.5002831929785978,0.6445510862967422,55.0,-10.472664916632471,0.07912669118942495
