dataset,location,model_type,model_label,seed,lead_minutes,depth_bin_m,pixels,mae_cm,rmse_cm,persistence_mae_cm,persistence_rmse_cm
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,15,0.00-0.10,858790,0.31171884297562474,0.7676804365640145,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,15,0.10-0.30,45324,4.050615363409206,6.224361760729724,5.551429416960648,7.52614404114484
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,15,0.30-0.50,14100,9.98511090451944,15.361278028563813,13.154482909762265,17.345726286586768
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,15,0.50+,17786,24.863666312091063,31.42697014344665,30.235548896856844,36.21862047951262
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,30,0.00-0.10,842081,0.5617583890299739,1.3069078866565975,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,30,0.10-0.30,49072,5.803026242031651,8.13964484993663,8.711201535935025,10.79257884431867
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,30,0.30-0.50,17899,13.589577750141604,19.263211486861127,19.382019927914072,22.741585499570398
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,30,0.50+,26948,39.734705418007685,48.76893916869538,50.71377732093033,57.86708993304317
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,60,0.00-0.10,818554,1.0441530642046437,2.539158371400157,0.291937604238047,0.9951907148157071
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,60,0.10-0.30,49362,6.612627265581611,8.855723158626716,11.322287135496346,13.7529954329003
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,60,0.30-0.50,23786,14.913436156312843,20.31485866064691,26.518831346871565,28.79677465500664
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),52,60,0.50+,44298,52.35628058040722,63.14214653072502,71.52171556189602,79.41411709651686
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,5,0.00-0.10,870695,0.12285574166493898,0.3658710918204628,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,5,0.10-0.30,41429,1.9311953095464789,3.5496883499029104,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,5,0.30-0.50,11440,4.432921742929237,7.340812300106051,5.389570514769196,7.850880605646717
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,5,0.50+,12436,9.720245104111749,12.401299707115765,10.86350979409865,13.455957836388228
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,15,0.00-0.10,858790,0.32731615260707503,0.7770892753771139,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,15,0.10-0.30,45324,3.942419838956886,6.0670529284834345,5.551429416960648,7.52614404114484
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,15,0.30-0.50,14100,9.830849486145567,15.24314267717167,13.154482909762265,17.345726286586768
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,15,0.50+,17786,25.465471797587032,32.156367762101326,30.235548896856844,36.21862047951262
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),77,30,0.00-0.10,842081,0.4831078252149434,1.1852425530888389,0.2513914377901772,0.9174298511174458
