dataset,location,model_type,model_label,event_id,seed_count,mean_mae_cm,mean_rmse_cm,mean_csi,mean_wet_rmse_cm,mean_boundary_f1,peak_time_mae_min,mae_reduction_pct,csi_gain
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r100y_p0.8_d3h_1,5,0.5516111624309901,1.5425075242956687,0.6972556157605876,5.342624936212822,0.9062728049366322,5.076923076923077,-43.44338138504135,0.057881645341066525
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r200y_p0.5_d3h_1,5,0.6488872510348183,1.9694095198681094,0.7591421761969191,6.350480864179773,0.9274556238174811,1.8076923076923077,-0.5803277656152315,0.04834624744703431
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r300y_p0.1_d3h_1,5,8.062222163214516,17.523235139093405,0.7238771203766735,31.941456732161498,0.8369343070373592,0.0,18.142499389113432,0.07391580531967698
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r300y_p0.5_d3h_1,5,0.6919221077727262,2.1208857590886065,0.7730379481741686,6.6587465000328825,0.9326487690213524,1.8846153846153846,5.079333028847641,0.04191737047949375
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r300y_p0.6_d3h_1,5,0.6559565118093681,1.9563113143343693,0.7814561400451253,6.131403994190677,0.9355599683847835,2.230769230769231,1.7434253690286137,0.04628322850804871
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r300y_p0.8_d3h_1,5,0.6302502133289045,1.824350277140987,0.7840938557224176,5.654679640489192,0.935795286859469,3.4230769230769234,-5.37313875452759,0.0443855588568657
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r500y_p0.1_d3h_1,5,8.638484542303656,18.485195200186457,0.7179391217552595,33.14221075211891,0.8321998833625468,0.0,17.23797045223022,0.06017346630883336
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r500y_p0.3_d3h_1,5,1.0385388821217458,3.1307281341215423,0.7661434176246172,8.813086160061662,0.9233752603563479,0.6923076923076923,11.92179762118433,0.021703850568919637
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r500y_p0.4_d3h_1,5,0.8376137909744388,2.594832742285198,0.7823731804198618,7.78293891785526,0.9363278328562687,0.6923076923076923,11.435012025044664,0.028650904796923782
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r500y_p0.9_d3h_1,5,0.6723178449473811,1.9688446814170217,0.7979801879702197,5.9505514520662075,0.9386963726069111,3.5,0.35561243388396024,0.033472903856144966
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r100y_p0.5_d3h_1,5,0.5775127766450048,1.4430462871310554,0.7885806110784557,3.93479730704677,0.9412613594428243,0.6923076923076923,-15.437173335085602,0.14402952478171346
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r100y_p0.7_d3h_1,5,0.5209065384804276,1.2688677792417522,0.7940989807280674,3.3794180876691486,0.9447700454390769,0.0,-24.07665549040179,0.1510362908771225
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r100y_p0.8_d3h_1,5,0.5300918574036576,1.2913842862016973,0.7807789138943649,3.4225562923696033,0.9384248362353355,1.1538461538461537,-37.847407103859425,0.1414049434748439
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r200y_p0.5_d3h_1,5,0.5664631661335477,1.385333145334641,0.8492997157753573,3.7898801468329886,0.9656011055465781,1.7307692307692306,12.195761550255524,0.1385037870254725
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r300y_p0.1_d3h_1,5,7.9618373123932615,17.24714930456702,0.728802375435994,31.490970916755185,0.8568516123200367,0.0,19.161728681121463,0.07884106037899756
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r300y_p0.5_d3h_1,5,0.5884062055274204,1.4345022977318607,0.8620262000053198,4.037137949734561,0.9703665808955123,1.8846153846153846,19.28006223357555,0.13090562231064493
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),r300y_p0.6_d3h_1,5,0.5400348081255866,1.307310450681765,0.8674486806318463,3.721832199151541,0.9742773623343578,1.1153846153846154,19.1074873522489,0.1322757690947697
