dataset,location,model_type,model_label,seed,split_seed,rain_forcing,prediction_mode,lead_minutes,threshold_m,csi,pod,far,f1,false_positive_rate,persistence_csi,persistence_pod,persistence_far,persistence_f1,persistence_false_positive_rate
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,30,0.05,0.742674428367524,0.8015132294309533,0.08995353143915362,0.8523386999638656,0.013056766819982876,0.6993339181373497,0.7103494623655914,0.021693237242483804,0.823068274778972,0.0025959221870457756
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,30,0.1,0.7042889162611312,0.7427357616669683,0.0684658939159233,0.8264900505322773,0.006088487924558327,0.6141999367955335,0.6208115503785177,0.017044017735219245,0.7609961105745386,0.0012005970922037191
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,30,0.2,0.6686601012768337,0.6891268850254538,0.04252763629084277,0.8014335582964859,0.0021888100520414777,0.5045513654096229,0.5093330771939936,0.0182670945445569,0.6707000864304236,0.000677706878037947
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,30,0.3,0.6438201529253903,0.6740250183958794,0.06507484844735865,0.7833218880783633,0.002360986272839793,0.44571619068785423,0.4471871028162419,0.007325644706231748,0.6166026133743274,0.00016607698116933905
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,60,0.05,0.6989419219812801,0.7851428571428571,0.13575587664438216,0.8227967218163464,0.02412262494012454,0.595591200322595,0.60768,0.032321467569338284,0.7465461080534651,0.003969982436532013
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,60,0.1,0.6331394390410475,0.6867411406093012,0.10974855957085146,0.775364826671281,0.012147030006572565,0.4862776423106029,0.49242204928222333,0.025018122966434582,0.6543563981149901,0.0018129530855630783
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,60,0.2,0.5674176927779233,0.5987858401778617,0.08452068546469646,0.7240159344792044,0.005651261023727289,0.3608003835266186,0.36412123166952737,0.0246544063194273,0.5302767222795407,0.0009408955111394257
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,60,0.3,0.5345189161983055,0.561541625051407,0.08259346355041512,0.6966599245613077,0.003965821577203324,0.29212463594186777,0.2931672639680395,0.012027916646042667,0.4521616999105191,0.00027998101198733517
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,5,0.05,0.9247350026883785,0.9364414195430238,0.013338114019361778,0.9608959169929913,0.0015627438036368,0.9234984825346504,0.9289936801166747,0.006364458865004836,0.9602279293901281,0.0007345616035527816
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,5,0.1,0.9158857281274129,0.9263762345915321,0.01221324189729774,0.9560964045831687,0.0008590838353269514,0.9001021543903518,0.9039889748105046,0.0047541177065596706,0.9474250132400379,0.0003238791999494657
